"A6";"A10";"A13";"A16";"A18";"A20";"A21";"A22";"A23";"A37";"A40"
"key";"coated";"line";815;"tabloid";1910;35;56;0,3;40;"band"
"key";"uncoated";"line";821;"tabloid";1911;45;44;0,267;40;"noband"
"key";"coated";"line";815;"tabloid";1910;40;63;0,233;40;"band"
"key";"uncoated";"line";802;"catalog";1911;40;50;0,233;40;"band"
"key";"uncoated";"line";821;"tabloid";1911;47,5;54;0,3;40;"band"
"key";"uncoated";"xylol";816;"catalog";1911;60;56;0,3;40;"band"
"key";"coated";"line";815;"spiegel";1910;45;54;0,367;35;"noband"
"key";"coated";"line";816;"tabloid";1910;45;53;0,3;35;"noband"
"key";"uncoated";"xylol";816;"tabloid";1910;45;49;0,2;33;"band"
"key";"coated";"line";824;"tabloid";1910;45;42;0,3;40;"band"
"key";"uncoated";"line";815;"catalog";1911;65;43;0,333;40;"noband"
"key";"coated";"line";828;"tabloid";1910;30;45;0,233;40;"band"
"key";"coated";"line";816;"tabloid";1910;35;55;0,5;35;"band"
"key";"uncoated";"line";802;"catalog";1910;52,5;55;0,333;45;"noband"
"key";"uncoated";"line";828;"tabloid";1910;45;56;0,333;35;"noband"
"key";"uncoated";"line";815;"catalog";1910;65;43;0,2;40;"noband"
"key";"uncoated";"line";821;"tabloid";1910;50;56;0,267;40;"band"
"key";"uncoated";"xylol";816;"catalog";1911;60;56;0,3;40;"band"
"key";"uncoated";"line";821;"tabloid";1911;47,5;54;0,3;40;"band"
"key";"uncoated";"line";813;"catalog";1910;50;59;0,4;35;"band"
"key";"coated";"line";824;"tabloid";1910;30;40;0,2;40;"band"
"key";"coated";"line";815;"spiegel";1910;35;72;0,367;40;"band"
"key";"coated";"line";815;"tabloid";1910;35;56;0,3;40;"band"
"key";"uncoated";"line";816;"spiegel";1910;42;42;0,267;40;"band"
"key";"uncoated";"line";821;"tabloid";1910;67,5;50;0,167;40;"band"
"key";"uncoated";"line";821;"tabloid";1910;40;59;0,25;40;"band"
"key";"coated";"line";824;"tabloid";1910;40;64;0,233;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;32;42;0,233;40;"noband"
"key";"uncoated";"line";802;"catalog";1911;35;38;0,433;40;"noband"
"key";"uncoated";"line";802;"spiegel";1910;45;58;0,2;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;40;43;0,2;40;"noband"
"key";"coated";"line";815;"spiegel";1910;30;58;0,433;35;"noband"
"key";"uncoated";"line";821;"tabloid";1911;42,5;41;0,3;40;"noband"
"key";"uncoated";"line";815;"tabloid";1911;47,5;58;0,333;40;"band"
"key";"uncoated";"line";815;"tabloid";1910;50;42;0,3;40;"band"
"key";"uncoated";"line";815;"catalog";1910;60;58;0,333;35;"band"
"key";"uncoated";"line";813;"catalog";1910;50;53;0,3;35;"noband"
"key";"uncoated";"line";816;"tabloid";1911;47,5;52;0,3;40;"band"
"key";"coated";"line";824;"tabloid";1911;40;62;0,233;40;"noband"
"key";"uncoated";"line";813;"catalog";1910;50;52;0,3;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;32;42;0,233;40;"noband"
"key";"coated";"line";815;"tabloid";1910;55,5;54;0,233;35;"noband"
"key";"coated";"line";821;"tabloid";1910;45;61;0,4;35;"noband"
"key";"coated";"line";827;"spiegel";1910;40;41;0,233;33;"noband"
"key";"coated";"line";815;"tabloid";1910;32,5;43;0,2;40;"band"
"key";"coated";"line";828;"tabloid";1910;57,5;57;0,367;40;"noband"
"key";"coated";"line";824;"tabloid";1910;47;67;0,333;40;"noband"
"key";"coated";"line";813;"catalog";1911;30;42;0,2;40;"noband"
"key";"uncoated";"line";815;"catalog";1910;45;40;0,3;40;"band"
"key";"coated";"line";821;"tabloid";1911;45;58;0,2;40;"noband"
"key";"uncoated";"line";813;"catalog";1910;50;66;0,233;40;"band"
"key";"uncoated";"line";802;"catalog";1910;50;55;0,233;40;"noband"
"key";"coated";"naptha";824;"tabloid";1911;50;45;0,233;40;"noband"
"key";"uncoated";"line";802;"catalog";1911;35;41;0,267;40;"noband"
"key";"coated";"line";816;"spiegel";1910;40;62;0,2;40;"noband"
"key";"coated";"line";824;"tabloid";1911;30;56;0,2;40;"noband"
"key";"uncoated";"line";827;"tabloid";1911;50;45;0,3;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;55;53;0,3;40;"band"
"key";"coated";"line";827;"tabloid";1910;45;69;0,267;40;"noband"
"key";"uncoated";"line";813;"catalog";1910;50;53;0,3;35;"noband"
"key";"coated";"line";824;"tabloid";1910;45;54;0,2;35;"noband"
"key";"uncoated";"line";802;"catalog";1910;47,5;52;0,267;33;"band"
"key";"uncoated";"line";821;"tabloid";1911;55;46;0,2;40;"band"
"key";"uncoated";"line";821;"tabloid";1911;50;43;0,267;40;"noband"
"key";"coated";"line";813;"catalog";1910;40;54;0,267;33;"noband"
"key";"coated";"line";828;"tabloid";1911;40;49;0,233;40;"noband"
"key";"coated";"line";824;"tabloid";1910;47;67;0,333;40;"noband"
"key";"coated";"line";815;"spiegel";1911;45;54;0,267;40;"noband"
"key";"uncoated";"line";815;"catalog";1910;65;49;0,333;37;"band"
"key";"uncoated";"xylol";802;"catalog";1910;50;45;0,367;40;"band"
"key";"coated";"line";815;"tabloid";1910;50;62;0,4;40;"noband"
"key";"uncoated";"line";815;"tabloid";1911;35;68;0,4;40;"band"
"key";"coated";"line";824;"tabloid";1910;50;43;0,3;40;"noband"
"key";"uncoated";"line";802;"catalog";1911;62,5;61;0,3;40;"noband"
"key";"uncoated";"line";816;"catalog";1911;50;47;0,2;40;"band"
"key";"uncoated";"line";815;"catalog";1910;65;58;0,4;37;"band"
"key";"uncoated";"line";815;"catalog";1910;40;68;0,2;40;"band"
"key";"uncoated";"line";813;"catalog";1910;50;59;0,4;35;"band"
"key";"uncoated";"line";815;"catalog";1910;55;55;0,3;35;"noband"
"key";"uncoated";"line";813;"catalog";1910;55;54;0,233;33;"noband"
"key";"coated";"line";813;"catalog";1911;55;56;0,4;40;"noband"
"key";"coated";"line";816;"tabloid";1910;45;53;0,3;35;"noband"
"key";"uncoated";"line";815;"catalog";1911;37,5;44;0,3;40;"noband"
"key";"uncoated";"line";802;"spiegel";1910;45;58;0,2;40;"noband"
"key";"uncoated";"line";813;"catalog";1911;60;38;0,333;40;"noband"
"key";"uncoated";"line";815;"catalog";1910;40;54;0,267;40;"band"
"key";"coated";"line";821;"tabloid";1910;30;54;0,333;35;"noband"
"key";"coated";"line";828;"tabloid";1910;40;62;0,267;40;"noband"
"key";"uncoated";"line";816;"catalog";1910;60;50;0,3;33;"band"
"key";"uncoated";"line";821;"tabloid";1911;47,5;54;0,3;40;"band"
"key";"coated";"line";821;"tabloid";1910;55;37;0,267;40;"noband"
"key";"coated";"line";821;"tabloid";1911;45;58;0,2;40;"noband"
"key";"uncoated";"line";802;"catalog";1911;37,5;65;0,2;40;"band"
"key";"uncoated";"line";816;"catalog";1910;67,5;45;0,2;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;45;54;0,333;35;"noband"
"key";"uncoated";"line";821;"tabloid";1910;52,5;62;0,433;35;"band"
"key";"uncoated";"line";816;"spiegel";1910;40;42;0,2;40;"noband"
"key";"uncoated";"line";827;"spiegel";1910;45;42;0,2;40;"noband"
"key";"coated";"line";821;"tabloid";1911;25;38;0,233;40;"noband"
"key";"uncoated";"line";816;"catalog";1911;40;54;0,2;40;"noband"
"key";"coated";"line";824;"tabloid";1910;47;67;0,4;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;40;47;0,2;40;"band"
"key";"uncoated";"line";816;"catalog";1911;47,5;65;0,2;40;"noband"
"key";"coated";"line";828;"tabloid";1911;35;44;0,2;40;"band"
"key";"uncoated";"line";815;"catalog";1910;40;69;0,2;40;"band"
"key";"uncoated";"line";816;"tabloid";1911;32,5;43;0,2;40;"noband"
"key";"uncoated";"xylol";802;"catalog";1910;50;43;0,333;40;"noband"
"key";"coated";"naptha";824;"tabloid";1911;50;45;0,233;40;"noband"
"key";"uncoated";"line";813;"catalog";1910;47,5;54;0,2;30;"noband"
"key";"coated";"line";816;"spiegel";1910;32,5;47;0,2;40;"noband"
"key";"uncoated";"line";813;"catalog";1910;50;53;0,3;35;"noband"
"key";"uncoated";"line";802;"catalog";1910;50;59;0,367;35;"band"
"key";"uncoated";"line";821;"tabloid";1911;42,5;46;0,3;40;"band"
"key";"uncoated";"line";802;"catalog";1910;32;42;0,233;40;"noband"
"key";"uncoated";"line";827;"tabloid";1911;50;45;0,3;40;"noband"
"key";"coated";"line";815;"tabloid";1911;30;63;0,3;40;"band"
"key";"uncoated";"xylol";813;"catalog";1911;57,5;56;0,5;40;"noband"
"key";"coated";"line";815;"tabloid";1910;55,5;54;0,233;35;"noband"
"key";"uncoated";"line";802;"catalog";1910;50;56;0,2;35;"band"
"key";"coated";"line";824;"tabloid";1910;45;54;0,367;40;"noband"
"key";"uncoated";"line";816;"catalog";1911;40;54;0,2;40;"noband"
"key";"coated";"line";821;"tabloid";1911;40;49;0,3;40;"band"
"key";"coated";"line";815;"tabloid";1910;37,5;43;0,2;40;"band"
"key";"coated";"line";828;"tabloid";1911;50;61;0,267;40;"noband"
"key";"coated";"line";816;"spiegel";1910;40;62;0,2;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;32;42;0,233;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;50;52;0,2;33;"band"
"key";"uncoated";"line";828;"tabloid";1910;47,5;68;0,35;40;"noband"
"key";"uncoated";"line";815;"tabloid";1910;50;42;0,3;40;"band"
"key";"coated";"line";824;"tabloid";1910;40;46;0,2;40;"noband"
"key";"uncoated";"line";813;"catalog";1911;45;56;0,233;40;"noband"
"key";"uncoated";"line";816;"spiegel";1910;40;68;0,3;40;"band"
"key";"coated";"line";824;"tabloid";1910;47;67;0,4;40;"noband"
"key";"coated";"line";816;"spiegel";1910;37,5;40;0,2;40;"noband"
"key";"uncoated";"line";827;"tabloid";1911;50;45;0,3;40;"noband"
"key";"uncoated";"line";802;"catalog";1911;55;54;0,267;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;50;59;0,367;35;"band"
"key";"uncoated";"line";827;"tabloid";1910;40;39;0,233;40;"noband"
"key";"uncoated";"line";815;"tabloid";1911;47,5;58;0,333;40;"band"
"key";"uncoated";"line";816;"tabloid";1910;40;51;0,233;40;"band"
"key";"uncoated";"line";815;"catalog";1910;60;58;0,333;35;"band"
"key";"coated";"line";827;"tabloid";1910;45;55;0,3;33;"noband"
"key";"coated";"line";824;"tabloid";1910;47;43;0,267;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;45;41;0,2;40;"noband"
"key";"coated";"line";816;"spiegel";1911;40;50;0,3;40;"noband"
"key";"coated";"line";824;"tabloid";1910;40;46;0,2;40;"noband"
"key";"uncoated";"line";813;"catalog";1910;52,5;37;0,233;40;"noband"
"key";"uncoated";"line";815;"tabloid";1911;37,5;44;0,2;40;"noband"
"key";"uncoated";"line";813;"catalog";1910;50;52;0,267;40;"noband"
"key";"uncoated";"line";816;"catalog";1910;65;60;0,267;40;"noband"
"key";"uncoated";"line";816;"catalog";1910;45;65;0,3;40;"band"
"key";"uncoated";"line";827;"tabloid";1911;37,5;70;0,333;40;"noband"
"key";"coated";"line";827;"spiegel";1911;40;41;0,2;40;"band"
"key";"uncoated";"line";802;"catalog";1910;72,5;54;0,2;33;"noband"
"key";"coated";"line";816;"spiegel";1910;32,5;47;0,267;40;"noband"
"key";"uncoated";"line";816;"tabloid";1910;40;43;0,267;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;47,5;52;0,267;33;"band"
"key";"uncoated";"line";815;"tabloid";1911;47,5;58;0,333;40;"band"
"key";"coated";"line";828;"tabloid";1911;35;44;0,2;40;"band"
"key";"uncoated";"line";813;"catalog";1910;50;53;0,3;35;"noband"
"key";"coated";"line";824;"tabloid";1910;47;67;0,4;40;"noband"
"key";"uncoated";"line";828;"tabloid";1910;30;56;0,367;35;"noband"
"key";"uncoated";"line";815;"catalog";1910;45;42;0,367;40;"band"
"key";"uncoated";"line";816;"tabloid";1911;32,5;43;0,2;40;"noband"
"key";"coated";"line";827;"tabloid";1911;35;48;0,233;40;"noband"
"key";"uncoated";"line";815;"catalog";1910;40;54;0,267;40;"band"
"key";"coated";"line";815;"tabloid";1910;55,5;54;0,233;35;"noband"
"key";"uncoated";"line";802;"catalog";1910;60;53;0,333;35;"noband"
"key";"uncoated";"line";816;"tabloid";1911;47,5;52;0,3;40;"band"
"key";"uncoated";"line";802;"catalog";1910;45;41;0,267;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;50;46;0,2;40;"band"
"key";"uncoated";"line";802;"catalog";1911;42,5;52;0,333;40;"noband"
"key";"uncoated";"line";828;"tabloid";1910;50;43;0,2;40;"noband"
"key";"uncoated";"line";824;"tabloid";1910;45;55;0,3;45;"noband"
"key";"uncoated";"line";816;"tabloid";1910;50;46;0,3;40;"noband"
"key";"uncoated";"line";821;"tabloid";1910;55;49;0,267;40;"band"
"key";"coated";"line";816;"spiegel";1911;35;50;0,3;40;"noband"
"key";"uncoated";"line";821;"tabloid";1910;55;49;0,267;40;"band"
"key";"uncoated";"line";815;"tabloid";1910;50;42;0,3;40;"band"
"key";"coated";"line";815;"spiegel";1910;35;72;0,367;40;"band"
"key";"coated";"line";824;"tabloid";1910;50;43;0,3;40;"noband"
"key";"coated";"line";816;"tabloid";1910;45;53;0,3;35;"noband"
"key";"coated";"line";815;"tabloid";1910;32,5;69;0,2;40;"noband"
"key";"coated";"line";828;"tabloid";1911;35;44;0,2;40;"band"
"key";"uncoated";"line";821;"tabloid";1910;40;59;0,25;40;"band"
"key";"uncoated";"line";815;"tabloid";1911;47,5;53;0,3;40;"band"
"key";"uncoated";"line";828;"tabloid";1910;30;56;0,367;35;"noband"
"key";"uncoated";"line";816;"catalog";1910;45;65;0,3;40;"band"
"key";"uncoated";"line";827;"tabloid";1911;50;45;0,3;40;"noband"
"key";"uncoated";"line";815;"catalog";1910;55;55;0,3;35;"noband"
"key";"coated";"line";828;"tabloid";1911;35;44;0,2;40;"band"
"key";"coated";"line";816;"spiegel";1910;40;62;0,2;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;45;44;0,267;40;"noband"
"key";"uncoated";"line";821;"tabloid";1910;50;56;0,267;40;"band"
"key";"uncoated";"line";802;"catalog";1911;35;41;0,267;40;"noband"
"key";"uncoated";"line";821;"tabloid";1910;42,5;52;0,4;40;"band"
"key";"uncoated";"line";802;"catalog";1910;32;42;0,233;40;"noband"
"key";"coated";"line";824;"tabloid";1910;45;57;0,233;40;"noband"
"key";"uncoated";"line";813;"catalog";1910;50;53;0,3;35;"noband"
"key";"coated";"line";828;"tabloid";1910;30;56;0,283;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;60;53;0,3;35;"noband"
"key";"coated";"line";815;"spiegel";1910;35;56;0,267;40;"band"
"key";"coated";"line";824;"tabloid";1911;35;48;0,233;40;"noband"
"key";"uncoated";"line";824;"tabloid";1910;40;55;0,533;45;"noband"
"key";"uncoated";"line";821;"tabloid";1910;45;57;0,267;40;"band"
"key";"uncoated";"line";815;"catalog";1910;35;44;0,3;40;"noband"
"key";"coated";"line";815;"tabloid";1910;32,5;43;0,2;40;"band"
"key";"uncoated";"line";828;"tabloid";1910;47,5;68;0,35;40;"noband"
"key";"uncoated";"line";821;"tabloid";1910;45;57;0,267;40;"band"
"key";"coated";"line";815;"tabloid";1910;45;42;0,233;35;"noband"
"key";"uncoated";"line";802;"catalog";1910;40;42;0,2;40;"band"
"key";"uncoated";"line";816;"catalog";1910;50;40;0,267;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;52;52;0,267;40;"band"
"key";"uncoated";"line";802;"catalog";1910;32;42;0,233;40;"noband"
"key";"uncoated";"line";827;"tabloid";1911;37,5;70;0,333;40;"noband"
"key";"coated";"line";815;"spiegel";1911;40;47;0,267;40;"band"
"key";"uncoated";"line";813;"catalog";1910;60;38;0,267;40;"noband"
"key";"uncoated";"line";827;"spiegel";1910;45;42;0,2;40;"noband"
"key";"uncoated";"line";813;"catalog";1911;60;48;0,4;40;"noband"
"key";"coated";"line";828;"tabloid";1910;40;56;0,3;40;"noband"
"key";"uncoated";"line";821;"tabloid";1910;45;57;0,267;40;"band"
"key";"uncoated";"line";802;"catalog";1910;72,5;54;0,2;33;"noband"
"key";"uncoated";"line";816;"tabloid";1910;40;43;0,267;40;"noband"
"key";"coated";"line";815;"tabloid";1910;40;43;0,267;40;"band"
"key";"coated";"line";824;"tabloid";1910;30;51;0,3;35;"noband"
"key";"uncoated";"line";827;"tabloid";1910;45;44;0,3;40;"noband"
"key";"coated";"line";816;"spiegel";1911;37,5;54;0,3;40;"noband"
"key";"coated";"line";816;"tabloid";1910;35;43;0,367;40;"band"
"key";"uncoated";"line";816;"tabloid";1910;49;43;0,35;40;"band"
"key";"coated";"line";816;"tabloid";1910;35;55;0,233;35;"band"
"key";"coated";"line";827;"tabloid";1911;30;53;0,333;40;"noband"
"key";"uncoated";"line";824;"tabloid";1910;45;55;0,3;45;"noband"
"key";"uncoated";"line";802;"catalog";1911;40;46;0,3;40;"band"
"key";"uncoated";"line";815;"catalog";1911;37,5;44;0,3;40;"noband"
"key";"coated";"line";828;"tabloid";1910;35;39;0,2;40;"noband"
"key";"uncoated";"xylol";802;"catalog";1910;50;45;0,367;40;"band"
"key";"uncoated";"line";802;"catalog";1910;32;42;0,233;40;"noband"
"key";"coated";"line";824;"tabloid";1910;50;43;0,3;40;"noband"
"key";"coated";"line";824;"tabloid";1910;30;51;0,333;35;"noband"
"key";"uncoated";"line";815;"tabloid";1910;50;42;0,3;40;"band"
"key";"coated";"line";816;"spiegel";1910;37,5;42;0,2;40;"band"
"key";"uncoated";"line";802;"catalog";1910;60;53;0,3;35;"noband"
"key";"uncoated";"line";813;"catalog";1911;60;48;0,367;40;"noband"
"key";"coated";"line";815;"catalog";1910;40;60;0,2;40;"band"
"key";"uncoated";"line";815;"catalog";1911;45;60;0,3;40;"band"
"key";"uncoated";"line";816;"tabloid";1911;32,5;43;0,2;40;"noband"
"key";"coated";"line";824;"tabloid";1911;35;56;0,2;40;"noband"
"key";"coated";"line";815;"tabloid";1910;37,5;43;0,2;40;"band"
"key";"coated";"line";816;"spiegel";1911;35;50;0,3;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;45;54;0,233;35;"noband"
"key";"uncoated";"line";821;"tabloid";1911;55;45;0,267;40;"noband"
"key";"uncoated";"line";815;"catalog";1910;50;58;0,367;35;"band"
"key";"coated";"line";827;"spiegel";1910;47,5;68;0,4;40;"band"
"key";"uncoated";"line";802;"catalog";1910;60;53;0,3;35;"noband"
"key";"uncoated";"line";827;"tabloid";1910;45;44;0,3;40;"noband"
"key";"uncoated";"line";816;"catalog";1910;60;50;0,3;33;"band"
"key";"coated";"line";824;"tabloid";1910;50;43;0,2;40;"noband"
"key";"coated";"line";816;"spiegel";1911;42,5;52;0,2;40;"band"
"key";"coated";"line";816;"tabloid";1910;35;43;0,367;40;"band"
"key";"uncoated";"line";802;"catalog";1910;32;42;0,233;40;"noband"
"key";"uncoated";"line";827;"tabloid";1911;45;41;0,333;40;"band"
"key";"uncoated";"line";827;"tabloid";1910;40;47;0,333;40;"band"
"key";"uncoated";"line";816;"catalog";1911;40;54;0,2;40;"noband"
"key";"uncoated";"line";816;"catalog";1910;45;65;0,3;40;"band"
"key";"uncoated";"line";824;"tabloid";1910;45;55;0,3;45;"noband"
"key";"uncoated";"line";816;"tabloid";1911;40;43;0,267;40;"noband"
"key";"uncoated";"line";827;"tabloid";1911;37,5;70;0,4;40;"noband"
"key";"coated";"line";824;"tabloid";1911;40;50;0,2;40;"noband"
"key";"coated";"line";828;"tabloid";1910;35;39;0,2;40;"noband"
"key";"uncoated";"line";815;"tabloid";1911;47,5;58;0,333;40;"band"
"key";"coated";"line";815;"tabloid";1910;32,5;45;0,233;40;"band"
"key";"uncoated";"line";802;"catalog";1910;60;50;0,3;40;"noband"
